design_id,design_type,rtl_chars,module_count,num_specs,avg_syntax,avg_functionality,total_proven,total_falsified,total_undetermined,avg_tool_calls,avg_jg_iterations,avg_wall_time_s,total_wall_time_s
ni_16_nn_16_ne_16_wd_32_opd_3_0,,0,1,3,1.0,0.6666666666666666,2,1,0,0,0,9.272293647130331,27.81688094139099
ni_16_nn_16_ne_32_wd_32_opd_5_0,,0,1,3,0.6666666666666666,0.3333333333333333,1,1,0,0,0,166.1649408340454,498.49482250213623
ni_16_nn_16_ne_64_wd_32_opd_3_0,,0,1,3,0.6666666666666666,0.16666666666666666,1,2,0,0,0,18.514558871587116,55.54367661476135
ni_16_nn_16_ne_64_wd_32_opd_5_0,,0,1,3,0.3333333333333333,0.16666666666666666,1,1,0,0,0,166.52525687217712,499.5757706165314
ni_16_nn_4_ne_12_wd_32_opd_3_0,,0,1,3,1.0,0.3333333333333333,1,2,0,0,0,8.936583757400513,26.809751272201538
ni_16_nn_4_ne_16_wd_32_opd_3_0,,0,1,3,1.0,0.3333333333333333,1,4,0,0,0,11.569758176803589,34.70927453041077
ni_16_nn_4_ne_8_wd_32_opd_5_0,,0,1,3,0.6666666666666666,0.3333333333333333,2,1,0,0,0,10.504413922627768,31.5132417678833
ni_16_nn_8_ne_16_wd_32_opd_2_0,,0,1,3,0.6666666666666666,0.3333333333333333,1,1,0,0,0,166.66835101445517,500.0050530433655
ni_16_nn_8_ne_24_wd_32_opd_3_0,,0,1,3,0.3333333333333333,0.3333333333333333,1,0,0,0,0,322.4210209051768,967.2630627155304
ni_16_nn_8_ne_24_wd_32_opd_5_0,,0,1,3,0.3333333333333333,0.16666666666666666,1,1,0,0,0,13.86919116973877,41.60757350921631
ni_16_nn_8_ne_32_wd_32_opd_5_0,,0,1,3,0.6666666666666666,0.3333333333333333,1,1,0,0,0,10.459775606791178,31.379326820373535
ni_4_nn_16_ne_16_wd_32_opd_2_0,,0,1,3,0.3333333333333333,0.3333333333333333,1,0,0,0,0,167.8686842918396,503.6060528755188
ni_4_nn_16_ne_32_wd_32_opd_4_0,,0,1,3,0.6666666666666666,0.3333333333333333,1,1,0,0,0,167.0536523660024,501.1609570980072
ni_4_nn_4_ne_4_wd_32_opd_2_0,,0,1,3,0.0,0.0,0,0,0,0,0,323.0532531738281,969.1597595214844
ni_4_nn_4_ne_4_wd_32_opd_3_0,,0,1,3,0.6666666666666666,0.0,0,2,0,0,0,166.16691478093466,498.50074434280396
ni_4_nn_4_ne_8_wd_32_opd_3_0,,0,1,3,1.0,0.6666666666666666,2,1,0,0,0,19.774893283843994,59.32467985153198
ni_4_nn_8_ne_16_wd_32_opd_5_0,,0,1,3,0.6666666666666666,0.0,0,3,0,0,0,15.998591581980387,47.99577474594116
ni_4_nn_8_ne_32_wd_32_opd_2_0,,0,1,3,0.6666666666666666,0.0,0,2,0,0,0,166.99323964118958,500.9797189235687
ni_4_nn_8_ne_32_wd_32_opd_5_0,,0,1,3,0.6666666666666666,0.3333333333333333,1,1,0,0,0,10.51820969581604,31.55462908744812
ns_10-w_128-opd_3-1,,0,11,3,0.3333333333333333,0.0,0,1,0,0,0,165.95111083984375,497.85333251953125
ns_10-w_128-opd_3-2,,0,11,3,0.6666666666666666,0.3333333333333333,1,1,0,0,0,166.54265435536703,499.6279630661011
ns_10-w_128-opd_5-5,,0,11,3,0.6666666666666666,0.3333333333333333,1,2,0,0,0,8.725986242294312,26.177958726882935
ns_2-w_128-opd_2-0,,0,3,3,0.6666666666666666,0.6666666666666666,2,0,0,0,0,10.371304750442505,31.113914251327515
ns_2-w_128-opd_2-4,,0,3,3,0.3333333333333333,0.0,0,1,0,0,0,10.645500500996908,31.936501502990723
ns_2-w_128-opd_2-5,,0,3,3,0.3333333333333333,0.3333333333333333,2,0,0,0,0,15.52942943572998,46.58828830718994
ns_2-w_128-opd_4-0,,0,3,3,0.6666666666666666,0.4444444444444444,2,2,0,0,0,8.416136503219604,25.248409509658813
ns_2-w_128-opd_4-2,,0,3,3,1.0,0.3333333333333333,1,4,0,0,0,10.034708976745605,30.104126930236816
ns_2-w_128-opd_4-3,,0,3,3,0.3333333333333333,0.3333333333333333,1,0,0,0,0,8.54397988319397,25.63193964958191
ns_2-w_128-opd_5-0,,0,3,3,0.3333333333333333,0.3333333333333333,1,0,0,0,0,12.090263446172079,36.270790338516235
ns_5-w_128-opd_2-4,,0,6,3,0.6666666666666666,0.6666666666666666,2,0,0,0,0,168.43967390060425,505.31902170181274
ns_5-w_128-opd_2-5,,0,6,3,0.3333333333333333,0.0,0,1,0,0,0,168.33585810661316,505.0075743198395
ns_5-w_128-opd_3-2,,0,6,3,0.6666666666666666,0.3333333333333333,3,1,0,0,0,13.632717053095499,40.8981511592865
ns_5-w_128-opd_4-0,,0,6,3,1.0,0.6666666666666666,2,1,0,0,0,13.226571639378866,39.6797149181366
ns_50-w_128-opd_2-5,,0,51,3,0.6666666666666666,0.6666666666666666,2,0,0,0,0,11.581379016240438,34.74413704872131
ns_50-w_128-opd_3-5,,0,51,3,0.3333333333333333,0.0,0,1,0,0,0,324.47256167729694,973.4176850318909
ns_50-w_128-opd_4-4,,0,51,3,0.3333333333333333,0.3333333333333333,1,0,0,0,0,9.015766620635986,27.04729986190796
